,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
4305,sustain,['verb'],0,519,2.71600334363,0.00192307692308,False,False,False,True,False,0,0.809743,0.0,0.408376,may_include_a_root
4333,enfeeble,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,True,False,1,0.623457,0.259259,0.500001,complex
4335,enjoin,['verb'],0,27,1.44715803134,0.0357142857143,False,False,False,True,False,0,0.828479,0.0,0.477254,obscure
4359,outdistance,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,True,False,1,1.0,0.0,0.726114,complex
4365,magnetize,['verb'],0,7,0.903089986992,0.125,False,False,False,True,False,1,0.569106,0.252033,0.487805,complex
4425,disclaim,['verb'],0,24,1.39794000867,0.04,False,False,False,True,False,1,0.73515,0.169388,0.483945,complex
4426,utilize,['verb'],0,131,2.12057393121,0.00757575757576,False,False,False,True,False,1,0.906797,0.052427,0.592682,monomorphemic
4488,bless,['verb'],0,315,2.49968708262,0.00316455696203,False,False,False,True,False,1,0.831939,0.044766,0.513253,monomorphemic
4507,deride,['verb'],0,25,1.41497334797,0.0384615384615,False,False,False,True,False,0,0.656243,0.14732,0.330353,may_include_a_root
4521,equate,['verb'],0,84,1.92941892571,0.0117647058824,False,False,False,True,False,1,0.59791,0.183056,0.377096,complex
4569,demystify,['verb'],0,7,0.903089986992,0.125,False,False,False,True,False,1,0.892377,0.107623,0.847534,complex
4588,bejewel,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,,,,complex
4641,ennoble,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,True,False,1,0.564815,0.305555,0.430555,complex
4672,chasten,['verb'],0,25,1.41497334797,0.0384615384615,False,False,False,True,False,1,0.505883,0.168627,0.286275,complex
4700,vitalize,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,0.574899,0.425102,0.489879,complex
4710,aggrieve,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,True,False,1,0.472934,0.410257,0.270655,complex
4758,misconceive,['verb'],0,20,1.32221929473,0.047619047619,False,False,False,True,False,1,0.816318,0.183671,0.730605,complex
4833,disseminate,['verb'],0,48,1.69019608003,0.0204081632653,False,False,False,True,False,0,0.775955,0.108108,0.489964,obscure
4859,abash,['verb'],0,15,1.20411998266,0.0625,False,False,False,True,False,0,0.689394,0.212061,0.500609,may_include_a_root
4875,furbish,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,0,0.571432,0.142863,0.142873,may_include_a_root
4880,impoverish,['verb'],0,92,1.96848294855,0.010752688172,False,False,False,True,False,0,0.85514,0.0,0.670561,obscure
4926,refrigerate,['verb'],0,21,1.34242268082,0.0454545454545,False,False,False,True,False,0,0.286381,0.400186,0.286381,obscure
5014,disinter,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,True,False,1,0.752809,0.191011,0.617978,complex
5022,miscast,['verb'],0,9,1.0,0.1,False,False,False,True,False,1,0.504587,0.334862,0.325688,complex
5029,enforce,['verb'],0,294,2.46982201598,0.00338983050847,False,False,False,True,False,1,0.58,0.07,0.458331,complex
5072,foresee,['verb'],0,211,2.32633586093,0.00471698113208,False,False,False,True,False,1,0.919959,0.0,0.62513,complex
5079,infest,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,True,False,1,0.439998,0.272175,0.299795,monomorphemic
5170,oblige,['verb'],0,490,2.69108149212,0.0020366598778,False,False,False,True,False,1,0.422775,0.088758,0.233588,monomorphemic
