,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
13832,comply,['verb'],0,112,2.05307844348,0.00884955752212,False,False,False,False,True,0,0.10711,0.406466,0.080332,may_include_a_root
13971,soar,['verb'],0,180,2.25767857487,0.00552486187845,False,False,False,False,True,1,0.268398,0.32636,0.161683,monomorphemic
14006,flinch,['verb'],0,94,1.97772360529,0.0105263157895,False,False,False,False,True,1,1e-05,0.481521,1e-05,monomorphemic
14291,freewheel,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,1,0.471591,0.465909,0.375,complex
14435,vegetate,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,False,True,0,0.115385,0.538461,0.115385,obscure
14457,grovel,['verb'],0,21,1.34242268082,0.0454545454545,False,False,False,False,True,1,0.218987,0.425682,0.190311,monomorphemic
14610,totter,['verb'],0,90,1.95904139232,0.010989010989,False,False,False,False,True,1,0.262317,0.350022,0.207688,monomorphemic
14721,bicker,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,False,True,0,0.0,0.389199,0.0,may_include_a_root
15076,galumph,['verb'],0,3,0.602059991328,0.25,False,False,False,False,True,1,,,,monomorphemic
15134,conspire,['verb'],0,74,1.87506126339,0.0133333333333,False,False,False,False,True,0,0.208552,0.254292,0.104276,may_include_a_root
15136,judder,['verb'],0,9,1.0,0.1,False,False,False,False,True,0,0.142857,0.5,0.107143,may_include_a_root
15178,entrench,['verb'],0,14,1.17609125906,0.0666666666667,False,False,False,False,True,1,0.743053,1e-05,0.40996,complex
15269,hallucinate,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,False,True,0,0.252996,0.44082,0.216743,obscure
15383,boggle,['verb'],0,16,1.23044892138,0.0588235294118,False,False,False,False,True,1,0.633069,0.254029,0.633059,monomorphemic
15581,hover,['verb'],0,214,2.33243845992,0.0046511627907,False,False,False,False,True,0,0.243423,0.313588,0.206161,may_include_a_root
15943,genuflect,['verb'],0,12,1.11394335231,0.0769230769231,False,False,False,False,True,0,0.0,0.355264,0.0,may_include_a_root
16184,backtrack,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,False,True,1,0.0,0.433674,0.0,complex
16204,philander,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,0.300885,0.641593,0.300885,may_include_a_root
16285,belong,['verb'],0,1483,3.17143390094,0.000673854447439,False,False,False,False,True,0,0.0,0.269911,0.0,obscure
16423,ensue,['verb'],0,135,2.13353890837,0.00735294117647,False,False,False,False,True,0,0.204031,0.539825,0.204031,obscure
16631,hesitate,['verb'],0,540,2.73319726511,0.00184842883549,False,False,False,False,True,0,0.087551,0.297037,0.087551,obscure
16846,gallivant,['verb'],0,4,0.698970004336,0.2,False,False,False,False,True,0,0.065934,0.527472,0.065934,may_include_a_root
16952,cohere,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,False,True,0,0.0,0.633504,0.0,obscure
17216,undulate,['verb'],0,50,1.7075701761,0.0196078431373,False,False,False,False,True,0,0.261979,0.415182,0.212208,obscure
17224,intermingle,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,False,True,1,0.367089,0.400844,0.135021,complex
17334,moulder,['verb'],0,14,1.17609125906,0.0666666666667,False,False,False,False,True,1,0.030303,0.484854,0.0,complex
17367,freshen,['verb'],0,21,1.34242268082,0.0454545454545,False,False,False,False,True,1,0.393511,0.472233,0.291661,complex
17440,namedrop,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,1,,,,complex
17487,lour,['verb'],0,28,1.4623979979,0.0344827586207,False,False,False,False,True,1,0.99996,2e-05,0.49998,monomorphemic
17593,digress,['verb'],0,17,1.2552725051,0.0555555555556,False,False,False,False,True,0,0.203034,0.396638,0.165135,may_include_a_root
17614,capitulate,['verb'],0,32,1.51851393988,0.030303030303,False,False,False,False,True,0,0.487558,0.288802,0.289109,obscure
17666,scram,['verb'],0,9,1.0,0.1,False,False,False,False,True,1,0.125,0.583333,0.083333,monomorphemic
18825,crepitate,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,,,,obscure
18889,evanesce,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,,,,obscure
19144,dwindle,['verb'],0,163,2.21484384805,0.00609756097561,False,False,False,False,True,1,0.384998,0.356588,0.298283,monomorphemic
19164,temporize,['verb'],0,9,1.0,0.1,False,False,False,False,True,1,0.261682,0.556074,0.21028,monomorphemic
19530,coruscate,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,,,,obscure
19705,writhe,['verb'],0,130,2.11727129566,0.00763358778626,False,False,False,False,True,1,0.0,0.388384,0.0,monomorphemic
19795,conform,['verb'],0,210,2.3242824553,0.00473933649289,False,False,False,False,True,1,0.0,0.232479,0.0,complex
20131,rankle,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,False,True,1,0.728518,0.15747,0.544631,monomorphemic
20772,emigrate,['verb'],0,55,1.74818802701,0.0178571428571,False,False,False,False,True,1,0.153373,0.372604,0.153373,complex
20908,enthuse,['verb'],0,19,1.30102999566,0.05,False,False,False,False,True,0,0.666553,0.177495,0.462327,obscure
21203,pry,['verb'],0,91,1.96378782735,0.0108695652174,False,False,False,False,True,1,0.402588,0.167063,0.258725,monomorphemic
