word,category,type,rel_type,freq,Nfreq,Vfreq,lemmalogfreq,logNfreq,logVfreq,NVratio,Vcatfreq,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nplural,Nsing,Ncollect,Nuncollect,Nmorph,Categories,MorphStatus,NPrel,SCrel,Nonerel,NPOnlyrel,entropy,bareformlength,Sform,edform,bareform,Sformlength,edformlength
chamber,n,count,no_rel,834,834,0,2.921686475,2.921686475,0,835,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,7,chambers,chambered,chamber,8,9
library,n,count,no_rel,1113,1113,0,3.046885191,3.046885191,0,1114,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,7,libraries,libraryed,library,8,9
world,n,count,no_rel,13567,13567,0,4.132515835,4.132515835,0,13568,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,worlds,worlded,world,6,7
ancestor,n,count,rel,492,492,0,2.692846919,2.692846919,0,493,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,8,ancestors,ancestored,ancestor,9,10
foe,n,count,rel,259,259,0,2.414973348,2.414973348,0,260,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,3,foes,foed,foe,4,5
daughter,n,count,rel,2305,2305,0,3.362859303,3.362859303,0,2306,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,8,daughters,daughtered,daughter,9,10
sister,n,count,rel,2039,2039,0,3.309630167,3.309630167,0,2040,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,6,sisters,sistered,sister,7,8
brother,n,count,rel,2478,2478,0,3.394276527,3.394276527,0,2479,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"['noun', 'interjection']",may_include_a_root,,,,,,7,brothers,brothered,brother,8,9
father,n,count,rel,5403,5386,17,3.73271534,3.731346976,1.255272505,299.2777778,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"['noun', 'verb']",may_include_a_root,0.754544,0,0.122728,0.527272,1.715532208,6,fathers,fathered,father,7,8
mother,n,count,rel,8556,8506,50,3.932321532,3.929776433,1.707570176,166.8039216,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,"['noun', 'verb']",may_include_a_root,0.542151,0.039016,0.342719,0.40658,1.913606365,6,mothers,mothered,mother,7,8
