,target,Categories,Nfreq,Vfreq,freq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
6163,recuperate,['verb'],0,19,19,0.05,False,False,False,True,True,0,obscure,norel
6172,disappear,['verb'],0,1234,1234,0.00080971659919,False,False,False,False,True,1,complex,norel
6180,evolve,['verb'],0,438,438,0.00227790432802,False,False,False,True,True,0,may_include_a_root,norel
6197,inherit,['verb'],0,435,435,0.00229357798165,False,False,False,True,True,1,monomorphemic,norel
6356,addle,['verb'],0,14,14,0.0666666666667,False,False,False,True,True,1,monomorphemic,norel
6392,meander,['verb'],0,28,28,0.0344827586207,False,False,False,False,True,1,monomorphemic,norel
6401,redouble,['verb'],0,32,32,0.030303030303,False,False,False,True,True,1,complex,norel
6425,stiffen,['verb'],0,106,106,0.00934579439252,False,False,False,True,True,1,complex,norel
6547,calve,['verb'],0,13,13,0.0714285714286,False,False,False,False,True,1,zero_derivation,norel
6558,legislate,['verb'],0,48,48,0.0204081632653,False,False,False,False,True,0,obscure,norel
6567,fossilize,['verb'],0,38,38,0.025641025641,False,False,False,True,True,1,complex,norel
6583,submerge,['verb'],0,62,62,0.015873015873,False,False,False,True,True,1,complex,norel
6650,jaywalk,['verb'],0,1,1,0.5,False,False,False,False,True,1,complex,norel
6706,proofread,['verb'],0,3,3,0.25,False,False,False,True,True,1,complex,norel
6710,capsize,['verb'],0,18,18,0.0526315789474,False,False,False,True,True,0,obscure,norel
6757,fly-fish,['verb'],0,5,5,0.166666666667,False,False,False,True,True,1,complex,norel
6766,disunite,['verb'],0,6,6,0.142857142857,False,False,False,True,True,1,complex,norel
6862,fulminate,['verb'],0,10,10,0.0909090909091,False,False,False,False,True,0,obscure,norel
6881,repine,['verb'],0,5,5,0.166666666667,False,False,False,False,True,1,complex,norel
6944,assist,['verb'],0,362,362,0.00275482093664,False,False,False,True,True,1,monomorphemic,norel
7029,resign,['verb'],0,424,424,0.00235294117647,False,False,False,True,True,0,may_include_a_root,norel
7114,commute,['verb'],0,50,50,0.0196078431373,False,False,False,True,True,1,monomorphemic,norel
7160,straighten,['verb'],0,330,330,0.00302114803625,False,False,False,True,True,1,complex,norel
7199,polarize,['verb'],0,49,49,0.02,False,False,False,True,True,1,complex,norel
7207,specialize,['verb'],0,180,180,0.00552486187845,False,False,False,False,True,1,complex,norel
7245,remain,['verb'],0,4696,4696,0.000212901852246,False,False,False,False,True,0,may_include_a_root,norel
7254,mainline,['verb'],0,4,4,0.2,False,False,False,False,True,1,complex,norel
7341,politicize,['verb'],0,19,19,0.05,False,False,False,True,True,1,complex,norel
7378,wither,['verb'],0,153,153,0.00649350649351,False,False,False,True,True,0,may_include_a_root,norel
7414,differentiate,['verb'],0,107,107,0.00925925925926,False,False,False,True,True,0,obscure,norel
7442,blanch,['verb'],0,46,46,0.0212765957447,False,False,False,True,True,1,monomorphemic,norel
7477,converge,['verb'],0,104,104,0.00952380952381,False,False,False,False,True,2,complex,norel
7530,equivocate,['verb'],0,12,12,0.0769230769231,False,False,False,False,True,0,obscure,norel
7546,prescribe,['verb'],0,204,204,0.00487804878049,False,False,True,True,True,0,obscure,norel
7579,civilize,['verb'],0,318,318,0.00313479623824,False,False,False,True,True,1,complex,norel
7645,unveil,['verb'],0,52,52,0.0188679245283,False,False,False,True,True,1,complex,norel
7663,segregate,['verb'],0,38,38,0.025641025641,False,False,False,True,True,0,obscure,norel
7761,translate,['verb'],0,356,356,0.00280112044818,False,False,False,True,True,0,obscure,norel
7819,cater,['verb'],0,249,249,0.004,False,False,False,True,True,1,monomorphemic,norel
7852,compose,['verb'],0,472,472,0.00211416490486,False,False,False,True,True,0,may_include_a_root,norel
7885,peddle,['verb'],0,25,25,0.0384615384615,False,False,False,True,True,0,may_include_a_root,norel
7979,protrude,['verb'],0,136,136,0.00729927007299,False,False,False,True,True,0,may_include_a_root,norel
8009,disarm,['verb'],0,100,100,0.00990099009901,False,False,False,True,True,1,complex,norel
