,target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
6567,fossilize,['verb'],0,38,38,0.025641025641,False,True,True,1,complex,norel
6583,submerge,['verb'],0,62,62,0.015873015873,False,True,True,1,complex,norel
6650,jaywalk,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
6706,proofread,['verb'],0,3,3,0.25,False,True,True,1,complex,norel
6710,capsize,['verb'],0,18,18,0.0526315789474,False,True,True,0,obscure,norel
6757,fly-fish,['verb'],0,5,5,0.166666666667,False,True,True,1,complex,norel
6766,disunite,['verb'],0,6,6,0.142857142857,False,True,True,1,complex,norel
6862,fulminate,['verb'],0,10,10,0.0909090909091,False,False,True,0,obscure,norel
6881,repine,['verb'],0,5,5,0.166666666667,False,False,True,1,complex,norel
6944,assist,['verb'],0,362,362,0.00275482093664,False,True,True,1,monomorphemic,norel
7029,resign,['verb'],0,424,424,0.00235294117647,False,True,True,0,may_include_a_root,norel
7114,commute,['verb'],0,50,50,0.0196078431373,False,True,True,1,monomorphemic,norel
7160,straighten,['verb'],0,330,330,0.00302114803625,False,True,True,1,complex,norel
7199,polarize,['verb'],0,49,49,0.02,False,True,True,1,complex,norel
7207,specialize,['verb'],0,180,180,0.00552486187845,False,False,True,1,complex,norel
7245,remain,['verb'],0,4696,4696,0.000212901852246,False,False,True,0,may_include_a_root,norel
7254,mainline,['verb'],0,4,4,0.2,False,False,True,1,complex,norel
7341,politicize,['verb'],0,19,19,0.05,False,True,True,1,complex,norel
7378,wither,['verb'],0,153,153,0.00649350649351,False,True,True,0,may_include_a_root,norel
7414,differentiate,['verb'],0,107,107,0.00925925925926,False,True,True,0,obscure,norel
7442,blanch,['verb'],0,46,46,0.0212765957447,False,True,True,1,monomorphemic,norel
7477,converge,['verb'],0,104,104,0.00952380952381,False,False,True,2,complex,norel
7530,equivocate,['verb'],0,12,12,0.0769230769231,False,False,True,0,obscure,norel
7546,prescribe,['verb'],0,204,204,0.00487804878049,True,True,True,0,obscure,norel
7579,civilize,['verb'],0,318,318,0.00313479623824,False,True,True,1,complex,norel
7645,unveil,['verb'],0,52,52,0.0188679245283,False,True,True,1,complex,norel
7663,segregate,['verb'],0,38,38,0.025641025641,False,True,True,0,obscure,norel
7761,translate,['verb'],0,356,356,0.00280112044818,False,True,True,0,obscure,norel
7819,cater,['verb'],0,249,249,0.004,False,True,True,1,monomorphemic,norel
7852,compose,['verb'],0,472,472,0.00211416490486,False,True,True,0,may_include_a_root,norel
7885,peddle,['verb'],0,25,25,0.0384615384615,False,True,True,0,may_include_a_root,norel
7979,protrude,['verb'],0,136,136,0.00729927007299,False,True,True,0,may_include_a_root,norel
8009,disarm,['verb'],0,100,100,0.00990099009901,False,True,True,1,complex,norel
8034,footslog,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
8083,clarify,['verb'],0,142,142,0.00699300699301,False,True,True,1,complex,norel
8151,have,['verb'],0,242066,242066,4.13108767407e-06,False,True,True,1,monomorphemic,norel
8167,rove,['verb'],0,45,45,0.0217391304348,False,True,True,1,monomorphemic,norel
8190,thicken,['verb'],0,116,116,0.00854700854701,False,True,True,1,complex,norel
8289,disport,['verb'],0,15,15,0.0625,False,True,True,0,may_include_a_root,norel
8423,refuel,['verb'],0,37,37,0.0263157894737,False,True,True,1,complex,norel
8431,ought,['verb'],0,1845,1845,0.000541711809317,False,False,True,1,monomorphemic,norel
8511,condense,['verb'],0,71,71,0.0138888888889,False,True,True,1,monomorphemic,norel
8629,conceive,['verb'],0,361,361,0.00276243093923,False,True,True,0,may_include_a_root,norel
8665,metamorphose,['verb'],0,19,19,0.05,False,True,True,1,monomorphemic,norel
8694,would,['verb'],0,18448,18448,5.42034798634e-05,False,False,True,1,monomorphemic,norel
8815,consolidate,['verb'],0,128,128,0.0077519379845,False,True,True,1,complex,norel
8902,begone,['verb'],0,2,2,0.333333333333,False,False,True,0,obscure,norel
8906,expostulate,['verb'],0,17,17,0.0555555555556,False,False,True,1,complex,norel
8940,foliate,['verb'],0,4,4,0.2,False,True,True,0,obscure,norel
9165,contradict,['verb'],0,131,131,0.00757575757576,False,True,True,0,obscure,norel
9217,blabber,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
9303,liquidate,['verb'],0,37,37,0.0263157894737,False,True,True,0,obscure,norel
9319,fasten,['verb'],0,186,186,0.00534759358289,False,True,True,1,complex,norel
9323,rob,['verb'],0,262,262,0.00380228136882,False,True,True,1,monomorphemic,norel
9398,entertain,['verb'],0,258,258,0.003861003861,False,True,True,0,may_include_a_root,norel
9510,bate,['verb'],0,42,42,0.0232558139535,False,True,True,1,monomorphemic,norel
9538,stabilize,['verb'],0,81,81,0.0121951219512,False,True,True,1,complex,norel
9559,concur,['verb'],0,39,39,0.025,False,False,True,0,may_include_a_root,norel
9775,insist,['verb'],0,1393,1393,0.000717360114778,False,True,True,0,may_include_a_root,norel
9836,furl,['verb'],0,15,15,0.0625,False,True,True,1,monomorphemic,norel
9856,weep,['verb'],0,499,499,0.002,False,True,True,1,monomorphemic,norel
9962,reduce,['verb'],0,2127,2127,0.00046992481203,False,True,True,0,obscure,norel
9963,notate,['verb'],0,4,4,0.2,False,True,True,1,monomorphemic,norel
9965,rouse,['verb'],0,161,161,0.00617283950617,False,True,True,1,monomorphemic,norel
10002,proliferate,['verb'],0,49,49,0.02,False,False,True,1,complex,norel
10015,snivel,['verb'],0,24,24,0.04,False,False,True,1,monomorphemic,norel
10080,desegregate,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
10083,intersect,['verb'],0,28,28,0.0344827586207,False,True,True,0,obscure,norel
10191,abdicate,['verb'],0,40,40,0.0243902439024,False,True,True,0,obscure,norel
10333,officiate,['verb'],0,20,20,0.047619047619,False,False,True,1,complex,norel
10342,amass,['verb'],0,39,39,0.025,False,True,True,0,obscure,norel
10356,toughen,['verb'],0,24,24,0.04,False,True,True,1,complex,norel
10387,niggle,['verb'],0,13,13,0.0714285714286,False,False,True,1,monomorphemic,norel
10397,stifle,['verb'],0,156,156,0.00636942675159,False,True,True,1,monomorphemic,norel
10419,cringe,['verb'],0,47,47,0.0208333333333,False,False,True,1,monomorphemic,norel
10529,shirk,['verb'],0,18,18,0.0526315789474,False,True,True,1,monomorphemic,norel
10649,etch,['verb'],0,53,53,0.0185185185185,False,True,True,1,monomorphemic,norel
10666,shew,['verb'],0,4,4,0.2,True,True,True,1,monomorphemic,norel
10769,idealize,['verb'],0,54,54,0.0181818181818,False,True,True,1,complex,norel
10802,gloat,['verb'],0,28,28,0.0344827586207,False,False,True,1,monomorphemic,norel
10841,procrastinate,['verb'],0,6,6,0.142857142857,False,False,True,0,obscure,norel
10860,fraternize,['verb'],0,4,4,0.2,False,False,True,1,complex,norel
10866,dissolve,['verb'],0,330,330,0.00302114803625,False,True,True,0,obscure,norel
10888,attend,['verb'],0,1340,1340,0.000745712155108,False,True,True,0,may_include_a_root,norel
10903,budge,['verb'],0,47,47,0.0208333333333,False,True,True,1,monomorphemic,norel
10913,ulcerate,['verb'],0,6,6,0.142857142857,False,True,True,1,complex,norel
10924,stridulate,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
10945,congregate,['verb'],0,43,43,0.0227272727273,False,True,True,0,obscure,norel
11022,diminish,['verb'],0,465,465,0.00214592274678,False,True,True,0,may_include_a_root,norel
11053,strangulate,['verb'],0,5,5,0.166666666667,False,True,True,1,complex,norel
11077,over-indulge,['verb'],0,10,10,0.0909090909091,False,False,True,1,complex,norel
11104,topple,['verb'],0,97,97,0.0102040816327,False,True,True,1,complex,norel
11105,skimp,['verb'],0,19,19,0.05,False,True,True,1,monomorphemic,norel
11126,editorialize,['verb'],0,3,3,0.25,False,False,True,1,complex,norel
11262,disagree,['verb'],0,257,257,0.00387596899225,False,False,True,1,complex,norel
11287,distend,['verb'],0,36,36,0.027027027027,False,True,True,0,obscure,norel
11341,synchronize,['verb'],0,24,24,0.04,False,True,True,1,complex,norel
11575,relax,['verb'],0,958,958,0.00104275286757,False,True,True,0,may_include_a_root,norel
11583,debark,['verb'],0,10,10,0.0909090909091,False,True,True,1,complex,norel
11586,straddle,['verb'],0,50,50,0.0196078431373,False,True,True,1,monomorphemic,norel
11640,vary,['verb'],0,1010,1010,0.000989119683482,False,True,True,1,monomorphemic,norel
11688,ameliorate,['verb'],0,18,18,0.0526315789474,False,True,True,0,obscure,norel
11710,knit,['verb'],0,169,169,0.00588235294118,True,True,True,1,monomorphemic,norel
11735,declaim,['verb'],0,17,17,0.0555555555556,False,True,True,1,complex,norel
11845,respond,['verb'],0,920,920,0.00108577633008,False,True,True,1,monomorphemic,norel
12018,collectivize,['verb'],0,25,25,0.0384615384615,False,True,True,1,complex,norel
12059,germinate,['verb'],0,24,24,0.04,False,True,True,0,obscure,norel
12112,straggle,['verb'],0,35,35,0.0277777777778,False,False,True,1,monomorphemic,norel
12138,exist,['verb'],0,2361,2361,0.000423370025402,False,False,True,0,may_include_a_root,norel
12200,mourn,['verb'],0,110,110,0.00900900900901,False,True,True,1,monomorphemic,norel
12202,overstock,['verb'],0,9,9,0.1,False,True,True,1,complex,norel
12210,overarch,['verb'],0,5,5,0.166666666667,False,True,True,1,complex,norel
12247,abscond,['verb'],0,5,5,0.166666666667,False,False,True,0,may_include_a_root,norel
12286,dangle,['verb'],0,175,175,0.00568181818182,False,True,True,1,monomorphemic,norel
12303,degrade,['verb'],0,139,139,0.00714285714286,False,True,True,1,complex,norel
12331,write,['verb'],0,8317,8317,0.000120221207021,True,True,True,1,monomorphemic,norel
12338,cavil,['verb'],0,8,8,0.111111111111,False,False,True,1,monomorphemic,norel
12472,indicate,['verb'],0,1348,1348,0.000741289844329,False,True,True,0,obscure,norel
12511,knead,['verb'],0,52,52,0.0188679245283,False,True,True,1,monomorphemic,norel
12538,intoxicate,['verb'],0,42,42,0.0232558139535,False,True,True,1,complex,norel
12570,assimilate,['verb'],0,113,113,0.00877192982456,False,True,True,1,complex,norel
12649,carve,['verb'],0,350,350,0.002849002849,True,True,True,1,monomorphemic,norel
12720,overcompensate,['verb'],0,7,7,0.125,False,False,True,1,complex,norel
12750,vivisect,['verb'],0,1,1,0.5,False,True,True,0,may_include_a_root,norel
12814,defrost,['verb'],0,16,16,0.0588235294118,False,True,True,1,complex,norel
12829,attenuate,['verb'],0,21,21,0.0454545454545,False,True,True,0,obscure,norel
