,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
588,postmaster,['noun'],17,0,1.2552725051,18.0,True,False,False,False,False,1,,,,complex
593,billboard,['noun'],24,0,1.39794000867,25.0,True,False,False,False,False,1,,,,complex
599,bottom,['noun'],1524,0,3.18326984368,1525.0,True,False,False,False,False,1,,,,monomorphemic
609,sax,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,monomorphemic
610,loyalist,['noun'],52,0,1.7242758696,53.0,True,False,False,False,False,1,,,,complex
611,anagram,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,0,,,,may_include_a_root
612,stoker,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
613,bencher,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,complex
615,machinegun,['noun'],103,0,2.0170333393,104.0,True,False,False,False,False,1,,,,complex
618,tent-peg,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
629,bombardier,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
631,altitude,['noun'],90,0,1.95904139232,91.0,True,False,False,False,False,0,,,,obscure
639,maundy,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,monomorphemic
640,perfumer,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
641,waistcoat,['noun'],69,0,1.84509804001,70.0,True,False,False,False,False,1,,,,complex
642,thesaurus,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,monomorphemic
649,incinerator,['noun'],35,0,1.55630250077,36.0,True,False,False,False,False,1,,,,complex
651,smasher,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,1,,,,complex
660,duet,['noun'],24,0,1.39794000867,25.0,True,False,False,False,False,1,,,,monomorphemic
662,passenger,['noun'],730,0,2.86391737696,731.0,True,False,False,False,False,0,,,,may_include_a_root
663,streaker,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,complex
667,megahertz,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
671,railhead,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
673,signification,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,complex
675,supplier,['noun'],130,0,2.11727129566,131.0,True,False,False,False,False,1,,,,complex
679,sleuth,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,monomorphemic
681,role,['noun'],2446,0,3.38863396935,2447.0,True,False,False,False,False,1,,,,monomorphemic
690,outage,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
692,longueur,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,0,,,,undetermined
697,transporter,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,1,,,,complex
698,hawker,['noun'],26,0,1.43136376416,27.0,True,False,False,False,False,1,,,,complex
699,donkey-jacket,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
701,meteorologist,['noun'],14,0,1.17609125906,15.0,True,False,False,False,False,1,,,,complex
704,slavey,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
718,Aborigine,['noun'],66,0,1.8260748027,67.0,True,False,False,False,False,1,,,,monomorphemic
731,crater,['noun'],128,0,2.1105897103,129.0,True,False,False,False,False,0,,,,may_include_a_root
735,laundryman,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
740,lark,['noun'],69,0,1.84509804001,70.0,True,False,False,False,False,1,,,,monomorphemic
744,knapsack,['noun'],17,0,1.2552725051,18.0,True,False,False,False,False,0,,,,obscure
750,O-level,['noun'],9,0,1.0,10.0,True,False,False,False,False,1,,,,complex
766,headset,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
771,wreath,['noun'],63,0,1.80617997398,64.0,True,False,False,False,False,1,,,,monomorphemic
773,rotunda,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,0,,,,obscure
777,draftee,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,2,,,,complex
778,gnat,['noun'],26,0,1.43136376416,27.0,True,False,False,False,False,1,,,,monomorphemic
779,coccyx,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,monomorphemic
789,ref,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,complex
806,houseman,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,complex
809,dumdum,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,monomorphemic
813,washday,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,complex
815,body-snatcher,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,2,,,,complex
836,skipping-rope,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
837,entrepot,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,0,,,,undetermined
843,ammonite,['noun'],21,0,1.34242268082,22.0,True,False,False,False,False,0,,,,obscure
847,stetson,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,monomorphemic
852,admirer,['noun'],152,0,2.18469143082,153.0,True,False,False,False,False,1,,,,complex
